id,name,url,time,genre,release_time,intro,directors,writers,stars
4000,The Bounty (1984) ,"https://m.media-amazon.com/images/M/MV5BYmNlNmVhZWEtYWYzOC00ZWZkLWE4YjQtMGIxM2E1OGUwNTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR1,0,182,268_AL_.jpg",2h 12min,Adventure|Drama|History,4 May 1984 (USA),"Fed up with their Captain's harsh discipline, a sailing ship's crew decides to take action.",Roger Donaldson,Richard Hough,Mel Gibson|Anthony Hopkins|Laurence Olivier
4002,"Planes, Trains & Automobiles (1987) ","https://m.media-amazon.com/images/M/MV5BM2I1ZWNkYjEtYWY3ZS00MmMwLWI5OTEtNWNkZjNiYjIwNzY0XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 33min,Comedy|Drama,25 November 1987 (USA),A man must struggle to travel home for Thanksgiving with a lovable oaf of a shower curtain ring salesman as his only companion.,John Hughes,,Steve Martin|John Candy|Laila Robins
4003,She's Having a Baby (1988) ,"https://m.media-amazon.com/images/M/MV5BMzE2OTAyNTAxMF5BMl5BanBnXkFtZTgwNTUzNTcxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 46min,Comedy|Drama|Romance,5 February 1988 (USA),Young newlyweds find out just how unprepared they are for their future together.,John Hughes,,Kevin Bacon|Elizabeth McGovern|Alec Baldwin
4005,The Living Daylights (1987) ,"https://m.media-amazon.com/images/M/MV5BZjI4MjBmYzItYTY5OC00OWYzLWE0NWYtZDQxNDQxM2QzYjA4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg",2h 10min,Action|Adventure|Thriller,30 June 1987 (UK),James Bond is sent to investigate a KGB policy to kill all enemy spies and uncovers an arms deal that potentially has major global ramifications.,John Glen,Richard Maibaum,Timothy Dalton|Maryam d'Abo|Jeroen Krabbé
4006,The Transformers: The Movie (1986) ,"https://m.media-amazon.com/images/M/MV5BZGM1MGY4OTYtOGZkOC00NjYyLTk3OTMtODUyZDdhYWQ3NGFjXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 24min,Animation|Action|Adventure,8 August 1986 (USA),"The Autobots must stop a colossal planet consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",Nelson Shin,,Orson Welles|Robert Stack|Leonard Nimoy
4007,Wall Street (1987) ,"https://m.media-amazon.com/images/M/MV5BNmEyZGQ4NDQtNTEzZC00MDczLWE4ZTEtYTg0ODg2NTkyMWM3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",2h 6min,Crime|Drama,11 December 1987 (USA),"A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.",Oliver Stone,Stanley Weiser,Charlie Sheen|Michael Douglas|Tamara Tunie
4008,Born on the Fourth of July (1989) ,"https://m.media-amazon.com/images/M/MV5BMTgwNDk5NTA0NF5BMl5BanBnXkFtZTgwMTkyMDUxMDE@._V1_UX182_CR0,0,182,268_AL_.jpg",2h 25min,Biography|Drama|War,5 January 1990 (USA),"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",Oliver Stone,Ron Kovic|Oliver Stone,Tom Cruise|Bryan Larkin|Raymond J. Barry
4009,Talk Radio (1988) ,"https://m.media-amazon.com/images/M/MV5BY2JlZTE4ZmItNjU2MC00NjM2LWFkMDItZWFjNTc4NDA4YzkwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 50min,Drama,13 January 1989 (USA),"A rude, contemptuous talk show host becomes overwhelmed by the hatred that surrounds his program just before it goes national.",Oliver Stone,Stephen Singular|Eric Bogosian,Eric Bogosian|Ellen Greene|Leslie Hope
4010,Brewster's Millions (1985) ,"https://m.media-amazon.com/images/M/MV5BM2MyMGJmZGEtOGQzNC00ZGMyLWEwNDYtMGExZjBlYjZlZGNkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",1h 42min,Comedy,22 May 1985 (USA),"A minor league baseball player has to spend thirty million dollars in thirty days, in order to inherit three hundred million dollars. However, he's not allowed to tell anyone about the deal.",Walter Hill,George Barr McCutcheon|Herschel Weingrod,Richard Pryor|John Candy|Lonette McKee
4011,Snatch (2000) ,"https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR0,0,182,268_AL_.jpg",1h 44min,Comedy|Crime,1 September 2000 (UK),"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,,Jason Statham|Brad Pitt|Benicio Del Toro
